,Name,Institution,session,participation,updated_at
0,cd937ca053317c5da348b0ddc7d9b6cb8d9b9046d269d9835b0308fc10e4d44a421e8e06a7b8d4e015baf1ddcf206e1ae83bb79b89619de389f8c8457c0297da,6abbc831e50bf43646ce727889f5004041b41c3ee6f24f1bd6209b486f3220d8314f3388d9800c0e688feee4f9e714e4ed9b93aa57ed40d84c7f3b0bb1ef3447,WCGA,Join,2019-05-06 08:30:28
1,3b84d05b867e38b0a2372fe011c13a112b14035e9b0493010c87f0a1f165109116bb1c40ac6f9b490a2c7b169fe58871a9d542151b80fd301d4fc88938ce2ace,0679a284e72e276dabf087b13a6ec914e61dcefa496ef348b2de50625933148b022feffe0e5c7477a30b23a3b0c9d156e06c89cf8e7f10d573ca0a3b2b5d7402,WRNP,Join,2019-05-06 08:54:50
2,fd69209adfb7e430b984f8aae8aa97b226808e2239e3cd1d8b5b676e48a4abfae6b1977896a6d31b441e5ab89e0fa8fa224616fd16d48e640890f5bace1a7174,944322d411ac6dd5f4468f614bfa44b4a49438c460ca5189005e5ec5e9932851bdfcbd19b2164692b39b54191f517a631d2fdd0aad0fbd091c06a70821d39f1d,WRNP,Join,2019-05-06 08:55:48
3,60bc9d15f2b2aab610088302276378c6bffd44783e9f710ffa1e8ce005bae7843f0778c0aa6e9223a2f1cfaad47609745e17b6216a04c769545baa7bd95c5783,8aaab4a111d82fd5f747299e22ea29f4a009de811d3f6838917d401d495a201eba055d55e4e39ef807bdad061096ec0055577f1a254d4b9e76394257912cb269,WTF,Join,2019-05-06 08:57:12
4,827e78b4c54646fc6e3c0bd6acbf9e0e846d4447c7a1668354048a45dcac86d0fb31ece1915bab478a2083d00a73be82cc70cd72e4f79f90b9d3d66d84d11ced,b1b8b02e1aec1540fbce4a7263302af46cfb3559bba72fe856ebe35bea2ef061d120ebc2a8027f03a3346d2e19faec5f788036c7dbab04525bb5073cf8999759,WTF,Join,2019-05-06 08:57:18
5,827e78b4c54646fc6e3c0bd6acbf9e0e846d4447c7a1668354048a45dcac86d0fb31ece1915bab478a2083d00a73be82cc70cd72e4f79f90b9d3d66d84d11ced,b1b8b02e1aec1540fbce4a7263302af46cfb3559bba72fe856ebe35bea2ef061d120ebc2a8027f03a3346d2e19faec5f788036c7dbab04525bb5073cf8999759,WTF,Join,2019-05-06 08:57:23
6,c131bc8152cf14f2b97c23d72eebe281f6a1d81db4ecde90d2ffa64efdd48adfcced515ac7fb0ad9f3c76f61f0a5f30640fe6a98c637bbdc1679627d4fb7b9da,b1b8b02e1aec1540fbce4a7263302af46cfb3559bba72fe856ebe35bea2ef061d120ebc2a8027f03a3346d2e19faec5f788036c7dbab04525bb5073cf8999759,WTF,Join,2019-05-06 08:57:28
7,23acaf6538e4b38959478d70bdecd11bb6b2dc7b2f19b430a3370bc2347f0de6e6f9a3253ba84f45af3cbe9ef45b35f89a492372ddacfeb037b1ac2ee221178f,b1b8b02e1aec1540fbce4a7263302af46cfb3559bba72fe856ebe35bea2ef061d120ebc2a8027f03a3346d2e19faec5f788036c7dbab04525bb5073cf8999759,WTF,Join,2019-05-06 08:57:33
8,53d17da4870dfc68c1ec66d13069631209840e422a35521f8827077f1dd97f92e8e6eeed7b752c3ae97fd1546e33c32c117d9d80938d1cacdaf1fb4141e3b0bb,66e9b89a9a8e273a2896a158dedeab5bc10e1f0741d22c555a3ee398e2139c26d6e3d0aec4a491f6bd2a3c436cc8984b7809a4129e1bd345fe162e58ef932341,WTF,Join,2019-05-06 08:57:36
9,150c69dd326f0bf0d5ffa6030b0c55cffbc9ce466697ddcaa9a86321ba32f4aa7ec443a1603b07a89f2a6de67517ed095d5cf63e317490b443980e077b86bb59,868350e0a211396980fb3f86396df3326eb25e16f38b94c139eae54001510df72a2604375b89277cd74cfe03a258a888bca42a0745922141a9d599b4e09c9df5,WTF,Join,2019-05-06 09:04:07
